Court,State,Judge,Tdecisions,Pgrant,Pother,Pdeny
Boston,Massachusetts,"Cato, Richard",137,43.1,4.4,52.6
Boston,Massachusetts,"D'Angelo, Matthew J.",160,47.5,0,52.5
Boston,Massachusetts,"Cade, Sarah",786,48.5,1.8,49.7
Boston,Massachusetts,"Rusher, Marna M",116,56,1.7,42.2
Boston,Massachusetts,"Sady, Michael",248,58.5,0.4,41.1
Boston,Massachusetts,"O'Malley, Brenda M.",978,66.2,0.6,33.2
Boston,Massachusetts,"Gagnon, Paul M.",131,67.2,1.5,31.3
Boston,Massachusetts,"Feder, Robin E.",556,66.7,2.2,31.1
Boston,Massachusetts,"O'Sullivan, Maureen S.",1267,83.8,0.6,15.5
,,,,,,
Buffalo,New York,"Ruehle, Walter",716,31.4,1.8,66.8
Buffalo,New York,"Hochul, Denise",533,44.1,3.6,52.3
,,,,,,
Chaparral,New Mexico,"French, Kathleen",297,3.4,7.4,89.2
Chaparral,New Mexico,"Palomino, Jacinto",490,9.8,6.3,83.9
Chaparral,New Mexico,"Fernandez, Lorely Ramirez",120,20,4.2,75.8
Chaparral,New Mexico,"Girvin, Ralph E.",122,11.5,14.8,73.8
Chaparral,New Mexico,"Taylor, Brock E.",607,59.8,3.5,36.7
,,,,,,
Charlotte,North Carolina,"Pettinato, Barry J.",327,1.5,0.3,98.2
Charlotte,North Carolina,"Riggs, George W.",555,2.5,0,97.5
Charlotte,North Carolina,"Couch, V. Stuart",449,5.3,0.2,94.4
Charlotte,North Carolina,"Lee, Amy T.",398,8.5,0.3,91.2
Charlotte,North Carolina,"Nance, Jeffery R.",473,10.4,1.1,88.6
Charlotte,North Carolina,"Lopez-Enriquez, Maria M.",270,11.5,3.3,85.2
Charlotte,North Carolina,"Holmes-Simmons, Theresa",372,17.7,1.1,81.2
Charlotte,North Carolina,"Harris, Rodger C.",597,18.3,2.5,79.2
Charlotte,North Carolina,"Criss, Scott D.",133,21.8,1.5,76.7
,,,,,,
Chicago,Illinois,"Ellison, Sarah M.",167,9,0.6,90.4
Chicago,Illinois,"Giambastiani, Jennie L.",217,33.6,0.9,65.4
Chicago,Illinois,"Venci, Michelle",170,35.9,0,64.1
Chicago,Illinois,"Defoe, Craig A.",892,35.4,0.8,63.8
Chicago,Illinois,"Naseem, Samia",448,37.3,0.2,62.5
Chicago,Illinois,"Salovaara, Kaarina",584,40.9,2.4,56.7
Chicago,Illinois,"Curran, Brendan C.",176,40.3,4,55.7
Chicago,Illinois,"McKenna, Patrick M.",739,50.5,0.3,49.3
Chicago,Illinois,"Rosche, Robin J.",590,52.9,2.9,44.2
Chicago,Illinois,"Cole, Samuel B.",467,54.2,1.9,43.9
Chicago,Illinois,"Mencini, Ana",137,56.2,0,43.8
Chicago,Illinois,"Lang, Elizabeth G.",423,56.3,1.9,41.8
Chicago,Illinois,"Stahl, Marc",267,61,0,39
Chicago,Illinois,"Klosowsky, Michael",239,61.1,0.4,38.5
Chicago,Illinois,"Deangelis, Kathryn L.",588,60.4,1.9,37.8
Chicago,Illinois,"Luskin, Joshua D.",197,60.9,2,37.1
Chicago,Illinois,"Saltzman, Eva S.",581,67.3,3.4,29.3
Chicago,Illinois,"Klein, Eliza C.",209,69.4,1.9,28.7
Chicago,Illinois,"Crites, Elizabeth",178,76.4,0,23.6
Chicago,Illinois,"Patti, Sebastian T.",197,78.7,0.5,20.8
Chicago,Illinois,"Peyton, Jennifer I.",373,82.6,1.9,15.5
Chicago,Illinois,"Reynolds, Gina",130,90,0,10
,,,,,,
Cleveland,Ohio,"Brown, Alison M.",303,10.2,0.7,89.1
Cleveland,Ohio,"Seppanen, Christopher R.",262,13,0.8,86.3
Cleveland,Ohio,"Owens, Jonathan W.",319,12.2,2.8,85
Cleveland,Ohio,"McCarthy, James F., III",123,14.6,0.8,84.6
Cleveland,Ohio,"Riley, Teresa L.",455,13,2.6,84.4
Cleveland,Ohio,"Horton, Monte J.",315,14,2.5,83.5
Cleveland,Ohio,"Riedthaler-Williams, Jennifer M.",194,16.5,4.6,78.9
Cleveland,Ohio,"Pashayan, Donald",134,20.1,3.7,76.1
Cleveland,Ohio,"Imbacuan, Bruce",111,16.2,11.7,72.1
Cleveland,Ohio,"Santoro, Jeremy",107,24.3,7.5,68.2
Cleveland,Ohio,"Tripi, Michael",185,34.6,1.1,64.3
Cleveland,Ohio,"Whipple, David C.",227,36.1,3.5,60.4
,,,,,,
Conroe,Texas,"Cole, Timothy M.",108,7.4,0.9,91.7
Conroe,Texas,"Walton, Richard D.",128,6.3,2.3,91.4
Conroe,Texas,"May, Jennifer A.",137,8.8,0.7,90.5
Conroe,Texas,"Greenstein, Saul",135,9.6,1.5,88.9
Conroe,Texas,"Powell, Robert L.",327,9.5,5.5,85
Conroe,Texas,"Sapp, Billy J.",329,18.5,4,77.5
Conroe,Texas,"Brisack, Chris A.",222,17.6,7.2,75.2
Conroe,Texas,"Evans, Mark S.",166,21.1,5.4,73.5
Conroe,Texas,"D'Andrea, Holly A.",180,37.2,6.1,56.7
,,,,,,
Dallas,Texas,"Sims, Deitrich H.",211,5.7,0.9,93.4
Dallas,Texas,"Ozmun, Richard R.",442,7.2,6.3,86.4
Dallas,Texas,"Kimball, R. Wayne",777,14.4,3.9,81.7
Dallas,Texas,"Eller, Donald R., Jr.",148,17.6,2,80.4
Dallas,Texas,"John-Baptiste, Allan",171,20.5,1.8,77.8
Dallas,Texas,"Thielemann, Christopher J.",185,20,3.8,76.2
Dallas,Texas,"Davis-Gumbs, Xiomara Diana",298,23.5,8.7,67.8
Dallas,Texas,"Nugent, James A.",175,22.3,10.9,66.9
Dallas,Texas,"Ferguson, Jason D.",191,35.1,4.7,60.2
Dallas,Texas,"Perez-Guzman, Virginia",433,36.3,8.5,55.2
Dallas,Texas,"Ellison, Sarah M.",117,51.3,5.1,43.6
,,,,,,
Denver,Colorado,"Masters, Bobbie C.",105,14.3,1.9,83.8
Denver,Colorado,"O'Hare, Donald C.",472,18.9,0.2,80.9
Denver,Colorado,"Corrin, Melanie K.",434,24.7,0.7,74.7
Denver,Colorado,"Kaufman, Matthew W.",154,25.3,1.9,72.7
Denver,Colorado,"Gardzelewski, Ivan E.",628,26.4,1.3,72.3
Denver,Colorado,"Calcador, Kerri",137,30.7,3.6,65.7
Denver,Colorado,"Trujillo, Eileen R.",511,39.9,1,59.1
Denver,Colorado,"Kane, Alison R.",664,41.3,0.8,58
Denver,Colorado,"Burgie, Brea C.",493,59,1.4,39.6
,,,,,,
Detroit,Michigan,"Jebson, Mark J.",543,19.2,2.9,77.9
Detroit,Michigan,"Gorland, Jennifer M.",889,35.9,3,61.1
Detroit,Michigan,"Simons, Ian R.",546,37.7,1.5,60.8
Detroit,Michigan,"Paruch, David H.",332,42.8,1.8,55.4
,,,,,,
El Paso,Texas,"Hough, Robert S.",108,5.6,4.6,89.8
El Paso,Texas,"Jacobs, Richard C.",104,13.5,5.8,80.8
El Paso,Texas,"Herbert, Nathan",129,25.6,7.8,66.7
El Paso,Texas,"Miller, James J., Jr.",115,39.1,7.8,53
,,,,,,
El Paso - EPD,Texas,"Abbott, William L.",263,14.4,2.7,82.9
El Paso - EPD,Texas,"Pleters, Michael",155,19.4,3.9,76.8
El Paso - EPD,Texas,"Ruhle, Stephen M.",214,24.3,1.9,73.8
,,,,,,
Elizabeth,New Jersey,"Tadal, Mirlande",201,11.9,2.5,85.6
Elizabeth,New Jersey,"Golparvar, Kuyomars Q.",290,8.6,9.7,81.7
Elizabeth,New Jersey,"Ellington, John P.",109,12.8,8.3,78.9
Elizabeth,New Jersey,"Shirole, Pallavi S.",126,20.6,2.4,77
Elizabeth,New Jersey,"Finston, Leo A.",165,19.4,4.2,76.4
Elizabeth,New Jersey,"Pope, Jason L.",212,19.8,4.7,75.5
Elizabeth,New Jersey,"Hartye, Alice S.",150,23.3,10,66.7
,,,,,,
Eloy,Arizona,"Davis, John W.",168,2.4,0,97.6
Eloy,Arizona,"Phelps, Richard A.",286,28,3.1,68.9
Eloy,Arizona,"Gaz, Jennifer I.",504,40.7,3.6,55.8
Eloy,Arizona,"Habich, Paul M.",398,51.8,4,44.2
Eloy,Arizona,"Penalosa, Jose Luis, Jr.",221,56.6,3.6,39.8
,,,,,,
Florence,Arizona,"Guerrero, Marni",205,9.8,6.8,83.4
Florence,Arizona,"Taylor, Bruce A.",197,16.8,7.6,75.6
Florence,Arizona,"Frazer, Molly S.",144,37.5,5.6,56.9
,,,,,,
Harlingen,Texas,"Guidry, Monica Thompson",132,13.6,0,86.4
Harlingen,Texas,"Schools, Shelly W.",173,16.8,0.6,82.7
Harlingen,Texas,"Crews, John G.",184,16.3,1.1,82.6
Harlingen,Texas,"Freeman, D'Anna H.",151,11.9,6,82.1
Harlingen,Texas,"Achtsam, Howard E.",115,16.5,3.5,80
Harlingen,Texas,"Gonzalez, Delia I.",171,15.2,6.4,78.4
Harlingen,Texas,"Ellison, Sarah M.",114,20.2,3.5,76.3
Harlingen,Texas,"Leonard, Joseph T.",117,23.1,13.7,63.2
Harlingen,Texas,"Garcia, Melissa Joy",106,33,6.6,60.4
,,,,,,
Hartford,Connecticut,"Straus, Michael W.",1618,21.9,0.6,77.5
Hartford,Connecticut,"Verrillo, Philip",543,33.3,1.3,65.4
Hartford,Connecticut,"Morris, Daniel A.",347,33.4,1.7,64.8
,,,,,,
Honolulu,Hawaii,"Beamer, Dayna M.",522,44.3,0.2,55.6
Honolulu,Hawaii,"Wagner, Clarence M., Jr.",597,68.5,1.3,30.2
,,,,,,
Houston,Texas,"Imbacuan, Bruce",105,0,0,100
Houston,Texas,"Harris, Monique",659,2.6,0,97.4
Houston,Texas,"Brown, Sam, IV",976,2,0.8,97.1
Houston,Texas,"Guidry, Monica Thompson",216,2.8,1.4,95.8
Houston,Texas,"May, Jennifer A.",139,4.3,0,95.7
Houston,Texas,"Hughes, Erica",173,3.5,1.7,94.8
Houston,Texas,"McGuirk, Erica J.",208,3.8,2.4,93.8
Houston,Texas,"Walton, Richard D.",657,4.6,2.6,92.8
Houston,Texas,"Gemoets, Marcos",1053,6.2,1.1,92.7
Houston,Texas,"Jamadar, Richard",704,7.4,1.3,91.3
Houston,Texas,"Gorman, Stephanie",510,8.4,0.6,91
Houston,Texas,"Khan, Anwer A.",618,8.6,1,90.5
Houston,Texas,"Wang, Lynn",264,10.2,0,89.8
Houston,Texas,"Picos, Georgina M.",1321,9.8,1.4,88.8
Houston,Texas,"Endelman, Gary E.",2005,10.3,1.2,88.5
Houston,Texas,"Rankin Yates, Clarease Rankin",517,10.1,1.7,88.2
Houston,Texas,"Bhagat, Nimmo",1919,11.1,0.9,88
Houston,Texas,"Freeman, D'Anna H.",107,12.1,0,87.9
Houston,Texas,"Brisack, Chris A.",144,10.4,2.1,87.5
