Court,State,Judge,Tdecisions,Pgrant,Pother,Pdeny
Memphis,Tennessee,"Averwater, Richard J.",441,12.7,0.5,86.8
Memphis,Tennessee,"Holt, Rebecca L.",797,12.8,0.9,86.3
Memphis,Tennessee,"Kaufman, Matthew W.",154,20.1,0,79.9
Memphis,Tennessee,"Campos, Alisha C.",226,21.2,0.4,78.3
Memphis,Tennessee,"Lake, Kelly B.",111,24.3,0,75.7
Memphis,Tennessee,"Newburn, Irma J.",112,25,0.9,74.1
Memphis,Tennessee,"Josephsen, Brandon J.",165,30.3,0,69.7
Memphis,Tennessee,"Maldonado, Luis",147,28.6,2.7,68.7
Memphis,Tennessee,"Russo, David",324,44.1,0,55.9
Memphis,Tennessee,"Clancy, Sean D.",102,69.6,3.9,26.5
,,,,,,
Miami,Florida,"Nettles, Marsha K.",243,2.9,0.8,96.3
Miami,Florida,"Siegel, Stuart A.",465,6.7,0.2,93.1
Miami,Florida,"Martinez-Esquivel, Lourdes",913,6.7,1.4,91.9
Miami,Florida,"Dowell, J. Daniel",911,7.7,0.7,91.7
Miami,Florida,"Horn, Michael C.",663,8,0.9,91.1
Miami,Florida,"Goodwin, Deborah K.",497,8.2,0.6,91.1
Miami,Florida,"Ayze, Thomas",1025,8.8,0.1,91.1
Miami,Florida,"Torreh-Bayouth, Lilliana",678,9.4,0.1,90.4
Miami,Florida,"Sanders, Charles J.",351,8.5,1.1,90.3
Miami,Florida,"Garcia, Madeline",901,9.3,0.7,90
Miami,Florida,"Brown, Charlotte D.",331,7.6,2.7,89.7
Miami,Florida,"Videla, Gabriel C.",1105,8.2,2.2,89.6
Miami,Florida,"Marks Lane, Denise A.",524,9.4,1.7,88.9
Miami,Florida,"Sogocio, Rico M.",815,10.4,0.9,88.7
Miami,Florida,"Araneta, Michelle",307,11.7,0,88.3
Miami,Florida,"Walleisa, Michael",896,10.2,2.7,87.2
Miami,Florida,"Page-Lozano, Jennifer Leigh",155,11.6,1.3,87.1
Miami,Florida,"Holyoak, Dalin R.",474,14.1,1.1,84.8
Miami,Florida,"Alexander, Scott G.",1000,14.9,0.5,84.6
Miami,Florida,"Herman, Lakshmi",272,15.8,0,84.2
Miami,Florida,"Rosen, Benjamin",167,16.2,0,83.8
Miami,Florida,"Rivera, Jose",520,19.2,0.4,80.4
Miami,Florida,"Mateo, Rene D.",228,18.9,0.9,80.3
Miami,Florida,"Balasquide, Javier E.",1216,20,0.2,79.8
Miami,Florida,"Maingot, Anthony E.",823,17,3.2,79.8
Miami,Florida,"Burgess, Abraham L.",744,20.4,0.7,78.9
Miami,Florida,"Lerner, Romy",185,23.8,0,76.2
Miami,Florida,"Cole, Timothy M.",755,20.8,3.3,75.9
Miami,Florida,"Recio, Irene M.",377,23.9,1.6,74.5
Miami,Florida,"Rodriguez de Jongh, Lourdes A.",437,24,2.1,73.9
Miami,Florida,"Mander, Stephen E.",546,27.1,2.4,70.5
Miami,Florida,"Reis, Christine",435,33.3,0,66.7
,,,,,,
Miami - Krome,Florida,"Martyak, Christina M.",143,2.8,2.1,95.1
Miami - Krome,Florida,"Opaciuch, John",111,2.7,3.6,93.7
Miami - Krome,Florida,"Lopez-Enriquez, Maria M.",279,3.6,2.9,93.5
Miami - Krome,Florida,"Pereira, Jorge L.",158,3.2,5.1,91.8
Miami - Krome,Florida,"Opaciuch, Adam",117,4.3,6.8,88.9
Miami - Krome,Florida,"Chait, Barry S.",369,10.3,2.4,87.3
Miami - Krome,Florida,"Siegel, Stuart A.",355,13,3.1,83.9
,,,,,,
New Orleans,Louisana,"Fluke, Randall L.",144,6.3,0,93.8
New Orleans,Louisana,"Connelly, Steven J.",198,7.6,0,92.4
New Orleans,Louisana,"Marquez, Charlotte",873,8.9,2.5,88.5
New Orleans,Louisana,"Larocca, Joseph",1116,17.8,1.4,80.7
New Orleans,Louisana,"Marsteller, Eric",732,20.2,3.7,76.1
New Orleans,Louisana,"Guillory, Kevin P.",100,40,3,57
,,,,,,
New York,New York,"Burns, John",256,11.3,2.3,86.3
New York,New York,"Menkin, Jeffrey L.",212,4.7,11.8,83.5
New York,New York,"Spencer, Oshea Denise",649,21.4,0.5,78.1
New York,New York,"Hom, Sandy K.",136,23.5,2.2,74.3
New York,New York,"Vomacka, Alan A.",146,26,0.7,73.3
New York,New York,"Perl, Adam",543,26.9,0,73.1
New York,New York,"McKee, James",290,27.9,0,72.1
New York,New York,"Lazare-Raphael, Shirley",769,29.6,0.8,69.6
New York,New York,"Christensen, Jesse B.",1683,33.1,0.2,66.7
New York,New York,"Siemietkowski, John",361,38,0,62
New York,New York,"Palmer, Brian T.",646,38.1,0.9,61
New York,New York,"Pierro, Laura N.",136,39,0.7,60.3
New York,New York,"Chugh, Amit",269,42,0.4,57.6
New York,New York,"Conroy, Charles",420,42.9,0.2,56.9
New York,New York,"Hom, Howard",589,41.8,1.5,56.7
New York,New York,"McCarthy, James M.",1287,43.6,1.5,54.9
New York,New York,"Nelson, Barbara A.",988,46.2,0.9,52.9
New York,New York,"Johnson-Papillo, Carrie C.",265,43,4.5,52.5
New York,New York,"Gundlach, Robert",593,47.4,0.7,51.9
New York,New York,"Chung, Jennifer",642,49.2,0,50.8
New York,New York,"Dodd, Diane",185,49.7,1.1,49.2
New York,New York,"Lloyd, Michael",328,50.9,0.3,48.8
New York,New York,"Poczter, Aviva L.",1332,53.1,0.8,46.2
New York,New York,"Ling, Lisa W.",103,47.6,8.7,43.7
New York,New York,"Bratton, Scott",139,54.7,2.2,43.2
New York,New York,"Loprest, F. James, Jr.",829,55.9,2.2,42
New York,New York,"Pieters, Edwin",140,59.3,0,40.7
New York,New York,"Ehrens, Lisa",516,57.6,2.3,40.1
New York,New York,"Ubarri, Maria",221,58.8,1.4,39.8
New York,New York,"Factor, Sam",819,59.1,1.5,39.4
New York,New York,"McFarland, Michael G.",877,60.7,1.4,38
New York,New York,"Golovnin, Lena",889,60.7,1.3,37.9
New York,New York,"Grogan, Edward",191,62.3,0.5,37.2
New York,New York,"Campanella, Lorianne",369,62.6,1.4,36
New York,New York,"Krasinski, Carolyn",236,63.1,0.8,36
New York,New York,"Laforest, Brigitte",1474,63.2,1.1,35.8
New York,New York,"Gordon, Cynthia",1008,64.2,0.4,35.4
New York,New York,"Moore, Carol",137,65.7,0,34.3
New York,New York,"Harbeck, Dorothy A.",554,65.3,1.3,33.4
New York,New York,"Wright, Virna A.",1085,67,1.5,31.5
New York,New York,"Calvelli, Andrew",419,71.1,0.2,28.6
New York,New York,"Lebreton, Tanawa",266,69.9,2.3,27.8
New York,New York,"Sponzo, Jem C.",1128,71.5,1.3,27.2
New York,New York,"Farber, Lauren T.",401,72.8,0.5,26.7
New York,New York,"Kolbe, Margaret",404,69.8,3.7,26.5
New York,New York,"Dandelet, Kyle",340,73.2,0.3,26.5
New York,New York,"Thomsen, Scott",458,76,0.7,23.4
New York,New York,"Thompson, Donald W., Jr.",1480,76.3,0.9,22.8
New York,New York,"Douchy, Evalyn P.",1254,74.3,3,22.7
New York,New York,"Donnolo, Paula",348,76.4,0.9,22.7
New York,New York,"Tsankov, Mimi",480,77.3,0.4,22.3
New York,New York,"Segal, Alice",1104,76.5,1.5,21.9
New York,New York,"McDermott, William",539,77.7,0.4,21.9
New York,New York,"Reingold, Jonathan",120,77.5,1.7,20.8
New York,New York,"Navarro, Maria E.",1141,78,1.6,20.4
New York,New York,"Nassar, Dania",138,78.3,1.4,20.3
New York,New York,"Bartleson, Thomas",290,79,1,20
New York,New York,"Lurye, Maria",1103,80,0.5,19.6
New York,New York,"Sagesse, Cathy",537,80.1,0.4,19.6
New York,New York,"Schoppert, Douglas B.",1120,74.6,6,19.5
New York,New York,"Zagzoug, Randa",1171,79.3,2.6,18
New York,New York,"Cohen, Raisa",950,81.3,1.1,17.7
New York,New York,"Kouris, Theodora N.",498,84.3,1.2,14.5
New York,New York,"Brennan, Noel A.",1038,84.6,1.2,14.3
New York,New York,"Leeds, Frederic G.",844,85.2,0.5,14.3
New York,New York,"Sichel, Helen J.",595,84.5,1.3,14.1
New York,New York,"Klahr, Deborah E.",505,85,1,14.1
New York,New York,"Cassin, Olivia L.",966,83.3,4.2,12.4
New York,New York,"Bain, Terry A.",594,87.9,0.5,11.6
New York,New York,"Gordon-Uruakpa, Vivienne E.",943,86,2.9,11.1
New York,New York,"Adams, Lori",296,89.2,0.3,10.5
New York,New York,"Crawford, Carol A.",223,87.4,2.2,10.3
New York,New York,"Khan, Amiena",694,88.6,1.4,9.9
New York,New York,"Little, Anna C.",230,91.3,1.3,7.4
New York,New York,"Koppenhofer, Andrea",169,94.1,0,5.9
New York,New York,"Kim, David",154,96.1,0.6,3.2
,,,,,,
New York - DET,New York,"Reid, Dara",1194,17,0,83
New York - DET,New York,"Decure, John",435,18.9,0.5,80.7
New York - DET,New York,"Conroy, Charles",478,18.4,1.3,80.3
New York - DET,New York,"London, Charlesa E.",166,19.9,0,80.1
New York - DET,New York,"Tsankov, Mimi",115,17.4,7,75.7
New York - DET,New York,"Farber, Lauren T.",115,20.9,3.5,75.7
New York - DET,New York,"Ouslander, Charles",175,29.1,0.6,70.3
New York - DET,New York,"Auh, Kyung S.",139,32.4,0,67.6
New York - DET,New York,"Cortes, John W.",430,31.9,0.7,67.4
New York - DET,New York,"Drucker, Richard",1345,34.9,0.7,64.4
New York - DET,New York,"Prieto, Francisco R.",373,34.9,5.1,60.1
New York - DET,New York,"Ling, Lisa W.",1552,43.4,1.2,55.3
New York - DET,New York,"Kolbe, Margaret",252,43.3,1.6,55.2
New York - DET,New York,"Mungoven, Thomas",406,46.1,0.2,53.7
New York - DET,New York,"Horton, Monte J.",105,46.7,2.9,50.5
New York - DET,New York,"Hoover, Forrest W., III",119,48.7,1.7,49.6
New York - DET,New York,"Burnham, Shayne R.",707,62.5,0.8,36.6
New York - DET,New York,"Mulligan, Thomas J.",382,62,1.6,36.4
New York - DET,New York,"Norkin, David",271,84.1,0,15.9
,,,,,,
Newark,New Jersey,"Mannion, Steve",435,6,0,94
Newark,New Jersey,"Chen, Shana W.",726,9.8,2.1,88.2
Newark,New Jersey,"Hinds Roach, Denise A.",200,21.5,0,78.5
Newark,New Jersey,"Cheng, David",407,21.4,1.5,77.1
Newark,New Jersey,"Bailey, Richard",547,23.6,0.9,75.5
Newark,New Jersey,"Shirole, Pallavi S.",490,24.1,0.8,75.1
Newark,New Jersey,"Manuel, Elise",102,28.4,0,71.6
Newark,New Jersey,"Wilson, Tamar H.",363,28.7,2.2,69.1
Newark,New Jersey,"Panopoulos, Adam",169,33.1,0,66.9
Newark,New Jersey,"Pierro, Laura N.",237,32.9,3.4,63.7
Newark,New Jersey,"Lane, Nicole",107,36.4,0,63.6
Newark,New Jersey,"McNeill Mullican, Leila",488,34.8,2.3,62.9
Newark,New Jersey,"Pope, Jason L.",451,35.5,2.2,62.3
Newark,New Jersey,"Ranasinghe, Arya S.",186,45.7,3.8,50.5
Newark,New Jersey,"Rastegar, Ramin",189,50.3,5.3,44.4
Newark,New Jersey,"Jeannopoulos, Amanda",347,52.4,3.5,44.1
Newark,New Jersey,"Rubin, Shifra",612,55.2,2.6,42.2
Newark,New Jersey,"Little, Anna C.",141,60.3,0,39.7
Newark,New Jersey,"Finston, Leo A.",307,59.6,3.6,36.8
Newark,New Jersey,"Riefkohl, Alberto J.",374,81.8,5.3,12.8
,,,,,,
Oakdale,Louisana,"Laragy, W. Scott",311,9.3,1.3,89.4
Oakdale,Louisana,"Ashworth, Sherron",110,8.2,2.7,89.1
Oakdale,Louisana,"Duck, John A., Jr.",368,14.9,0.8,84.2
Oakdale,Louisana,"Schools, Shelly W.",174,21.3,0,78.7
Oakdale,Louisana,"Martz, Nicholas A.",144,22.2,2.1,75.7
Oakdale,Louisana,"Espinal, Pedro J.",170,53.5,0.6,45.9
Oakdale,Louisana,"Taylor, Brock E.",186,53.8,0.5,45.7
,,,,,,
Omaha,Nebraska,"Larsen, Alexandra R.",521,2.7,1.5,95.8
Omaha,Nebraska,"Meyer, Abby L.",871,4,3.6,92.4
Omaha,Nebraska,"Morrissey, Matthew E.",682,4.1,10.9,85
Omaha,Nebraska,"Anderson, Jack L.",201,12.4,3.5,84.1
Omaha,Nebraska,"Paul, Nancy J.",134,13.4,3,83.6
,,,,,,
Orlando,Florida,"Lippman, Daniel",271,8.1,1.1,90.8
Orlando,Florida,"Chapman, Kevin J.",829,11.7,0.4,87.9
Orlando,Florida,"Alberdi, Yon K.",738,14.9,1.8,83.3
Orlando,Florida,"Karden, Stuart F.",515,15.1,1.7,83.1
Orlando,Florida,"Page-Lozano, Jennifer Leigh",519,17.9,1.9,80.2
Orlando,Florida,"Ghartey, Victoria L.",577,19.8,0.5,79.7
Orlando,Florida,"Grim, James",454,22,0.7,77.3
Orlando,Florida,"Harris, Monique",474,23.2,1.1,75.7
Orlando,Florida,"Lang, Elizabeth G.",157,51,1.9,47.1
,,,,,,
Otay Mesa,California,"Simpson, Scott",127,17.3,1.6,81.1
Otay Mesa,California,"Halliday-Roberts, Catherine",262,23.3,1.9,74.8
Otay Mesa,California,"DePaolo, Zsa Zsa",116,25.9,1.7,72.4
Otay Mesa,California,"Attia, Olga E.",151,22.5,5.3,72.2
Otay Mesa,California,"Partida, Ana",193,36.8,2.1,61.1
Otay Mesa,California,"Burch, Valerie A.",185,41.1,4.9,54.1
,,,,,,
Pearsall,Texas,"McKee, Robert R.",434,15.2,3,81.8
Pearsall,Texas,"Tyrakoski, Meredith B.",143,20.3,0,79.7
Pearsall,Texas,"Paulissen, Walter L.",290,17.6,9,73.4
Pearsall,Texas,"Martinez, Elizabeth",130,21.5,6.2,72.3
Pearsall,Texas,"Alcorn, Stuart Douglas",493,20.9,8.3,70.8
,,,,,,
Philadelphia,Pennsylvania,"Golparvar, Kuyomars Q.",161,14.3,5,80.7
Philadelphia,Pennsylvania,"Hoover, Forrest W., III",124,33.1,0.8,66.1
Philadelphia,Pennsylvania,"Lee, Mary C.",881,36.4,1.2,62.3
Philadelphia,Pennsylvania,"Malloy, Rosalind K.",408,40.4,1,58.6
Philadelphia,Pennsylvania,"Carle, John B.",885,42.3,1.4,56.4
Philadelphia,Pennsylvania,"Scott, Joseph C.",391,44.2,2,53.7
Philadelphia,Pennsylvania,"Verma, Dinesh C.",184,47.3,1.1,51.6
Philadelphia,Pennsylvania,"Ehlers, Patrick J.",267,49.4,0,50.6
Philadelphia,Pennsylvania,"Morley, Steven A.",612,48.7,4.1,47.2
Philadelphia,Pennsylvania,"Honeyman, Charles M.",271,56.8,1.8,41.3
Philadelphia,Pennsylvania,"Kulick, Dawn",111,60.4,0,39.6
Philadelphia,Pennsylvania,"Garcy, Annie S.",360,62.5,0.6,36.9
,,,,,,
Phoenix,Arizona,"Bartlemay, Robert C., Sr.",218,10.6,1.8,87.6
Phoenix,Arizona,"Spencer-Walters, Linda Inez",333,8.4,5.1,86.5
Phoenix,Arizona,"Sharda, Munish",279,10.8,4.3,84.9
Phoenix,Arizona,"Imburgia, Joseph S.",123,14.6,4.1,81.3
Phoenix,Arizona,"Karlen, Melissa Beth",213,16.9,2.3,80.8
Phoenix,Arizona,"Cottor, Elizabeth A",289,17.6,1.7,80.6
Phoenix,Arizona,"Cortes, John W.",223,19.7,0.9,79.4
Phoenix,Arizona,"Arellano, Silvia R.",148,26.4,1.4,72.3
Phoenix,Arizona,"Freerks, LaMonte S.",262,24.8,3.1,72.1
,,,,,,
Portland,Oregon,"Truman, Phillip M.",213,7.5,0,92.5
Portland,Oregon,"Greer, Christopher M.",229,10.5,2.6,86.9
Portland,Oregon,"Hoeppner, Mindy E.",657,20.7,1.2,78.1
Portland,Oregon,"Anderson, David C.",204,21.1,1,77.9
Portland,Oregon,"Zanfardino, Richard",629,24,1.6,74.4
Portland,Oregon,"Evans, David W.",136,31.6,0.7,67.6
Portland,Oregon,"Lyons, Joren",510,39.6,0.8,59.6
Portland,Oregon,"Lemke, Kathy J.",127,59.8,1.6,38.6
,,,,,,
Sacramento,California,"Halperin, Ravit R.",112,10.7,0,89.3
Sacramento,California,"Roberts, Lindsy M.",102,23.5,2,74.5
Sacramento,California,"Hitesman, Jonathan W.",111,45.9,0,54.1
Sacramento,California,"Terrazas, Gilda M",100,46,0,54
Sacramento,California,"Geisse, Loreto S.",271,71.6,0.4,28
Sacramento,California,"Phan, Susan",178,74.2,0,25.8
Sacramento,California,"Neumeister, David",345,71.9,5.5,22.6
Sacramento,California,"Maggard, Robert P.",314,95.2,0.6,4.1
,,,,,,
San Antonio,Texas,"Harlow, Craig A.",343,27.1,5.8,67.1
San Antonio,Texas,"Adams, Justin",190,33.7,4.2,62.1
San Antonio,Texas,"Newaz, Rifian S.",380,37.4,2.4,60.3
San Antonio,Texas,"Martin, Clay Nelson",123,37.4,3.3,59.3
San Antonio,Texas,"Crossan, Thomas G., Jr.",205,29.8,11.2,59
San Antonio,Texas,"Martinez, Anibal D.",201,33.3,8,58.7
San Antonio,Texas,"McCullough, Charles M.",516,35.9,9.1,55
San Antonio,Texas,"Tyrakoski, Meredith B.",193,40.4,6.7,52.8
San Antonio,Texas,"Gonzalez, Yvonne",411,44,5.4,50.6
San Antonio,Texas,"Tijerina, Eric J.",341,44.6,5.9,49.6
San Antonio,Texas,"Lafuente-Gaona, Cynthia",147,53.1,12.2,34.7
San Antonio,Texas,"Burkhart, Margaret D.",182,57.1,19.8,23.1
San Antonio,Texas,"Santander, Daniel J.",116,71.6,12.9,15.5
,,,,,,
San Diego,California,"Bither, Christine A.",265,7.5,0.4,92.1
San Diego,California,"Renner, Renee L.",149,9.4,0.7,89.9
San Diego,California,"O'Connor, Lee A.",324,14.2,1.9,84
San Diego,California,"Law, Philip S.",644,14,2.3,83.7
San Diego,California,"Romig, Jeffrey L.",483,13.9,6,80.1
San Diego,California,"Ipema, Henry P., Jr.",211,19.4,0.5,80.1
San Diego,California,"DeVitto, James Alan",387,24.8,1,74.2
San Diego,California,"Grande, Guy G.",313,29.1,2.2,68.7
San Diego,California,"Bartolomei, Richard J., Jr",217,35,5.1,59.9
San Diego,California,"Simpson, Scott",140,38.6,2.9,58.6
San Diego,California,"Clemente, Jesus",326,13.2,31,55.8
San Diego,California,"Partida, Ana",142,47.9,0,52.1
,,,,,,
San Francisco,California,"Aina, Nathan N.",238,4.6,3.8,91.6
San Francisco,California,"Halperin, Ravit R.",248,22.2,0,77.8
San Francisco,California,"Nelson, Julie L.",685,23.2,2,74.7
San Francisco,California,"Caborn, Andrew J.",665,31.9,1.1,67.1
San Francisco,California,"Morwood, Dion A.",165,39.4,0,60.6
San Francisco,California,"Simmons, Gregory L.",556,39.2,3.1,57.7
San Francisco,California,"Nava, Marlem",129,44.2,1.6,54.3
San Francisco,California,"Phan, Susan",1237,46.3,1.1,52.5
San Francisco,California,"Seminerio, Frank A.",855,49,0.1,50.9
San Francisco,California,"O'Brien, Patrick S.",860,49,0.5,50.6
San Francisco,California,"Burch, Valerie A.",124,44.4,6.5,49.2
San Francisco,California,"Ford, Nicholas R",702,47.4,4.6,48
San Francisco,California,"Lake, Kelly B.",474,46.2,6.5,47.3
San Francisco,California,"Park, Joseph Y.",661,50.7,2.1,47.2
San Francisco,California,"Picton, Cory M.",579,52,2.1,45.9
San Francisco,California,"Gambill, Scott D.",1176,54,0.5,45.5
San Francisco,California,"Pierce, Curtis F.",322,65.8,0.9,33.2
San Francisco,California,"Masterson, Jason R.",283,66.4,1.1,32.5
San Francisco,California,"Jefferson-Webb, Lettricea L.",409,68.7,0,31.3
San Francisco,California,"Shugall, Ilyce",231,66.2,2.6,31.2
San Francisco,California,"Star, Shadee M.",857,68.3,2.9,28.8
San Francisco,California,"Kirchner, Steven M.",593,71,0.2,28.8
San Francisco,California,"Paulino, Robin K.",687,69.9,2.2,27.9
San Francisco,California,"McCleskey, Loi L.",358,71.2,1.4,27.4
San Francisco,California,"Young, Elizabeth L.",531,69.5,3.4,27.1
San Francisco,California,"Jamil, Rebecca",180,77.2,0.6,22.2
San Francisco,California,"Slayton, Michelle A.",123,78,0,22
San Francisco,California,"Figueroa, Laura C.",729,76.8,2.3,20.9
San Francisco,California,"Butler, Jeremy J.",689,79.5,0.3,20.2
San Francisco,California,"Greene, Charles S., III.",1091,76.4,3.6,20.1
San Francisco,California,"Geisse, Loreto S.",459,76.3,3.9,19.8
San Francisco,California,"Swink, Arwen A.",1090,78.8,1.7,19.4
San Francisco,California,"Ramirez, Laura L.",163,81,0.6,18.4
San Francisco,California,"Little, Anna C.",716,81.3,1.4,17.3
San Francisco,California,"Schulz, Karen W.",419,82.3,0.5,17.2
San Francisco,California,"Jackson, Jacqueline J.",465,80.9,2.4,16.8
San Francisco,California,"Price, Justin M.",930,85.8,1.3,12.9
San Francisco,California,"Johnson, Jeremiah",1204,86.5,1,12.5
San Francisco,California,"Marks, Dana Leigh",494,88.7,1.4,9.9
San Francisco,California,"Deiss, Ila C.",1796,91.2,1.3,7.5
San Francisco,California,"Savage, Patrick S.",1071,92.8,0.8,6.3
San Francisco,California,"Riedthaler-Williams, Jennifer M.",117,86.3,7.7,6
San Francisco,California,"George, Amber D",710,93.7,0.4,5.9
San Francisco,California,"Hayward, Miriam R.",183,95.1,0,4.9
San Francisco,California,"Gordon, Louis A.",545,96,0.2,3.9
San Francisco,California,"Davis, Howard R.",141,96.5,0,3.5
San Francisco,California,"Kim, Samuel Y.",184,92.4,4.9,2.7
San Francisco,California,"Chen, Shuting",309,97.7,0,2.3
San Francisco,California,"Levine, Shira M.",674,97.5,0.3,2.2
San Francisco,California,"Dillon, Chloe S.",260,98.5,0.4,1.2
,,,,,,
Santa Ana,California,"Ghasri, Iman",109,22.9,1.8,75.2
Santa Ana,California,"Lee, Wilbur",196,23,2.6,74.5
Santa Ana,California,"Winfield, Jennifer",107,37.4,1.9,60.7
Santa Ana,California,"Rothschild, Jerome M., Jr.",164,39,0.6,60.4
Santa Ana,California,"Brown, Charlotte D.",116,36.2,4.3,59.5
Santa Ana,California,"Brooks, Alicia",178,41,0.6,58.4
Santa Ana,California,"Francis, Leon J.",203,44.3,2.5,53.2
Santa Ana,California,"Huang, Jonathan",110,50.9,3.6,45.5
Santa Ana,California,"Chan, Matthew",120,66.7,1.7,31.7
Santa Ana,California,"Noche, Joyce",153,68,2,30.1
Santa Ana,California,"Mabry Iii, William",175,79.4,1.7,18.9
Santa Ana,California,"Levin, Victoria",134,82.8,1.5,15.7
Santa Ana,California,"Fishkin, Andrew",180,81.7,3.3,15
,,,,,,
Seattle,Washington,"Sogabe, Kenneth",710,18.6,0.6,80.8
Seattle,Washington,"Evans, David W.",640,19.1,1.3,79.7
Seattle,Washington,"Tisocco, Michael",223,22,0.4,77.6
Seattle,Washington,"Johnson, Shane E.",780,20.9,1.8,77.3
Seattle,Washington,"McSeveney, Robert B.C.",1574,27.3,0.4,72.4
Seattle,Washington,"Windrow, Hayden E.",697,31,0.3,68.7
Seattle,Washington,"Parchert, Brett M.",1788,31.4,2.1,66.4
Seattle,Washington,"Walsh, John F.",143,44.1,2.1,53.8
Seattle,Washington,"Defonzo, Paul A.",247,41.3,4.9,53.8
,,,,,,
Sterling,Virginia,"Pope, Jason L.",161,37.9,0,62.1
,,,,,,
Tacoma,Washington,"Odell, John C.",484,27.5,2.3,70.2
Tacoma,Washington,"Scala, Theresa M.",123,29.3,3.3,67.5
Tacoma,Washington,"Floyd, Charles Neil",311,36.3,3.5,60.1
Tacoma,Washington,"Fitting, Tammy L.",432,42.4,1.9,55.8
,,,,,,
Tucson,Arizona,"O'Leary, Thomas Michael",241,19.9,5.8,74.3
Tucson,Arizona,"Davis, John W.",314,22.6,7,70.4
Tucson,Arizona,"Keenan, Sean H.",437,30,2.5,67.5
Tucson,Arizona,"Deangelis, Kathryn L.",112,41.1,5.4,53.6
,,,,,,
Van Nuys,California,"Naselow-Nahas, Tara",233,9.9,3.9,86.3
Van Nuys,California,"Riley, Kevin W.",216,16.2,2.3,81.5
Van Nuys,California,"Santos-Garcia, Sandra J.",363,46,4.4,49.6
Van Nuys,California,"Burke, David H.",632,43.5,9.3,47.2
Van Nuys,California,"Burke, Brian",346,54.9,2.9,42.2
Van Nuys,California,"Maury, Carlos E.",381,67.2,3.7,29.1
Van Nuys,California,"Dorfman, Arlene E.",259,69.1,3.5,27.4
,,,,,,
West Valley,Utah,"Truman, Phillip M.",1205,45.1,0.3,54.5
West Valley,Utah,"Greer, Christopher M.",1476,46.3,0.8,52.8
West Valley,Utah,"Anderson, David C.",1055,50.1,1.6,48.2
